experiment,Enclosure,Bee_ID,bee,Date_delivered,Date_tagged,Days_Subcolony,Colony,Neonic,Treatment_Type,Flower_Type,Test_Type,Treatment_date,Test_date
t1rep1,1,B9 2A 66 01 0B 00 00 00,B9-2A-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,n,h,6alt,SI.NN,9/24/19,9/25/19
t1rep1,2,B5 2A 66 01 0B 00 00 00,B5-2A-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,n,m,6alt,SI.NN,9/24/19,9/25/19
t1rep1,3,1D 2C 66 01 0B 00 00 00,1D-2C-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,n,c,6alt,SI.NN,9/24/19,9/25/19
t1rep1,4,3D 2C 66 01 0B 00 00 00,3D-2C-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,n,h,6alt,SI.NN,9/24/19,9/25/19
t1rep1,5,B1 2A 66 01 0B 00 00 00,B1-2A-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,y,m,6alt,SI.NN,9/24/19,9/25/19
t1rep1,6,BE 2A 66 01 0B 00 00 00,BE-2A-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,y,c,6alt,SI.NN,9/24/19,9/25/19
t1rep1,8,CC 2A 66 01 0B 00 00 00,CC-2A-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,y,h,6alt,SI.NN,9/24/19,9/25/19
t1rep2,1,C7 2A 66 01 0B 00 00 00,C7-2A-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,n,m,6alt,SI.NN,9/24/19,9/25/19
t1rep2,2,C0 2A 66 01 0B 00 00 00,C0-2A-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,y,c,6alt,SI.NN,9/24/19,9/25/19
t1rep2,3,24 2C 66 01 0B 00 00 00,24-2C-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,n,h,6alt,SI.NN,9/24/19,9/25/19
t1rep2,4,23 2C 66 01 0B 00 00 00,23-2C-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,n,m,6alt,SI.NN,9/24/19,9/25/19
t1rep2,5,CB 2A 66 01 0B 00 00 00,CB-2A-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,n,c,6alt,SI.NN,9/24/19,9/25/19
t1rep2,6,21 2C 66 01 0B 00 00 00,21-2C-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,n,h,6alt,SI.NN,9/24/19,9/25/19
t1rep2,8,B2 2A 66 01 0B 00 00 00,B2-2A-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,y,m,6alt,SI.NN,9/24/19,9/25/19
t1rep3,1,CD 2A 66 01 0B 00 00 00,CD-2A-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,n,c,6alt,SI.NN,9/24/19,9/25/19
t1rep3,2,BF 2A 66 01 0B 00 00 00,BF-2A-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,y,m,6alt,SI.NN,9/24/19,9/25/19
t1rep3,3,DB 2A 66 01 0B 00 00 00,DB-2A-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,n,h,6alt,SI.NN,9/24/19,9/25/19
t1rep3,4,B6 2A 66 01 0B 00 00 00,B6-2A-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,y,c,6alt,SI.NN,9/24/19,9/25/19
t1rep3,5,C9 2A 66 01 0B 00 00 00,C9-2A-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,y,m,6alt,SI.NN,9/24/19,9/25/19
t1rep3,6,4D 2C 66 01 0B 00 00 00,4D-2C-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,y,h,6alt,SI.NN,9/24/19,9/25/19
t1rep3,8,0D 2C 66 01 0B 00 00 00,0D-2C-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,y,c,6alt,SI.NN,9/24/19,9/25/19
t1rep4,1,CE 2A 66 01 0B 00 00 00,CE-2A-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,n,h,6alt,SI.NN,9/24/19,9/25/19
t1rep4,2,C5 2A 66 01 0B 00 00 00,C5-2A-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,n,m,6alt,SI.NN,9/24/19,9/25/19
t1rep4,3,27 2C 66 01 0B 00 00 00,27-2C-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,n,c,6alt,SI.NN,9/24/19,9/25/19
t1rep4,4,36 29 66 01 0B 00 00 00,36-29-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,n,h,6alt,SI.NN,9/24/19,9/25/19
t1rep4,5,C3 2A 66 01 0B 00 00 00,C3-2A-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,n,m,6alt,SI.NN,9/24/19,9/25/19
t1rep4,6,25 2C 66 01 0B 00 00 00,25-2C-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,y,c,6alt,SI.NN,9/24/19,9/25/19
t1rep4,8,BA 2A 66 01 0B 00 00 00,BA-2A-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,y,h,6alt,SI.NN,9/24/19,9/25/19
t1rep5,1,1F 2C 66 01 0B 00 00 00,1F-2C-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,n,m,6alt,SI.NN,9/24/19,9/25/19
t1rep5,2,11 2C 66 01 0B 00 00 00,11-2C-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,y,c,6alt,SI.NN,9/24/19,9/25/19
t1rep5,3,BD 2A 66 01 0B 00 00 00,BD-2A-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,y,h,6alt,SI.NN,9/24/19,9/25/19
t1rep5,4,34 2C 66 01 0B 00 00 00,34-2C-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,n,m,6alt,SI.NN,9/24/19,9/25/19
t1rep5,5,37 29 66 01 0B 00 00 00,37-29-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,y,c,6alt,SI.NN,9/24/19,9/25/19
t1rep5,6,49 29 66 01 0B 00 00 00,49-29-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,y,h,6alt,SI.NN,9/24/19,9/25/19
t1rep5,8,5A 2A 66 01 0B 00 00 00,5A-2A-66-01-0B-00-12-E0,7/9/19,9/17/19,7,3,y,m,6alt,SI.NN,9/24/19,9/25/19
t2rep1,1,AD 28 66 01 0B 00 00 00,AD-28-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,y,h,6alt,SI.NN,10/1/19,10/2/19
t2rep1,2,BB 2A 66 01 0B 00 00 00,BB-2A-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,n,m,6alt,SI.NN,10/1/19,10/2/19
t2rep1,3,98 2A 66 01 0B 00 00 00,98-2A-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,y,c,6alt,SI.NN,10/1/19,10/2/19
t2rep1,4,96 2A 66 01 0B 00 00 00,96-2A-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,n,h,6alt,SI.NN,10/1/19,10/2/19
t2rep1,5,9D 2A 66 01 0B 00 00 00,9D-2A-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,y,m,6alt,SI.NN,10/1/19,10/2/19
t2rep1,6,77 28 66 01 0B 00 00 00,77-28-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,n,c,6alt,SI.NN,10/1/19,10/2/19
t2rep1,8,7D 28 66 01 0B 00 00 00,7D-28-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,y,h,6alt,SI.NN,10/1/19,10/2/19
t2rep2,1,44 26 66 01 0B 00 00 00,44-26-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,n,m,6alt,SI.NN,10/1/19,10/2/19
t2rep2,2,C3 28 66 01 0B 00 00 00,C3-28-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,n,c,6alt,SI.NN,10/1/19,10/2/19
t2rep2,3,9A 2A 66 01 0B 00 00 00,9A-2A-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,y,h,6alt,SI.NN,10/1/19,10/2/19
t2rep2,4,B7 28 66 01 0B 00 00 00,B7-28-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,n,m,6alt,SI.NN,10/1/19,10/2/19
t2rep2,5,B5 28 66 01 0B 00 00 00,B5-28-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,n,c,6alt,SI.NN,10/1/19,10/2/19
t2rep3,1,81 28 66 01 0B 00 00 00,81-28-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,n,c,6alt,SI.NN,10/1/19,10/2/19
t2rep3,2,7B 28 66 01 0B 00 00 00,7B-28-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,n,m,6alt,SI.NN,10/1/19,10/2/19
t2rep3,3,97 2A 66 01 0B 00 00 00,97-2A-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,y,h,6alt,SI.NN,10/1/19,10/2/19
t2rep3,4,B1 28 66 01 0B 00 00 00,B1-28-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,y,c,6alt,SI.NN,10/1/19,10/2/19
t2rep3,5,80 28 66 01 0B 00 00 00,80-28-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,n,m,6alt,SI.NN,10/1/19,10/2/19
t2rep3,8,A8 2A 66 01 0B 00 00 00,A8-2A-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,y,c,6alt,SI.NN,10/1/19,10/2/19
t2rep4,1,B2 28 66 01 0B 00 00 00,B2-28-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,n,h,6alt,SI.NN,10/1/19,10/2/19
t2rep4,2,AF 28 66 01 0B 00 00 00,AF-28-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,y,m,6alt,SI.NN,10/1/19,10/2/19
t2rep4,4,AA 2A 66 01 0B 00 00 00,AA-2A-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,y,h,6alt,SI.NN,10/1/19,10/2/19
t2rep4,5,AB 2A 66 01 0B 00 00 00,AB-2A-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,n,m,6alt,SI.NN,10/1/19,10/2/19
t2rep4,6,84 28 66 01 0B 00 00 00,84-28-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,y,c,6alt,SI.NN,10/1/19,10/2/19
t2rep4,8,AC 2A 66 01 0B 00 00 00,AC-2A-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,n,h,6alt,SI.NN,10/1/19,10/2/19
t2rep5,1,7E 28 66 01 0B 00 00 00,7E-28-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,y,m,6alt,SI.NN,10/1/19,10/2/19
t2rep5,2,76 28 66 01 0B 00 00 00,76-28-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,n,c,6alt,SI.NN,10/1/19,10/2/19
t2rep5,3,57 29 66 01 0B 00 00 00,57-29-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,y,h,6alt,SI.NN,10/1/19,10/2/19
t2rep5,5,B3 28 66 01 0B 00 00 00,B3-28-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,y,c,6alt,SI.NN,10/1/19,10/2/19
t2rep5,8,B4 28 66 01 0B 00 00 00,B4-28-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,n,m,6alt,SI.NN,10/1/19,10/2/19
t2rep6,1,87 28 66 01 0B 00 00 00,87-28-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,y,c,6alt,SI.NN,10/1/19,10/2/19
t2rep6,2,A6 2A 66 01 0B 00 00 00,A6-2A-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,y,m,6alt,SI.NN,10/1/19,10/2/19
t2rep6,3,AE 28 66 01 0B 00 00 00,AE-28-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,n,h,6alt,SI.NN,10/1/19,10/2/19
t2rep6,4,A2 2A 66 01 0B 00 00 00,A2-2A-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,n,c,6alt,SI.NN,10/1/19,10/2/19
t2rep6,5,88 28 66 01 0B 00 00 00,88-28-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,y,m,6alt,SI.NN,10/1/19,10/2/19
t2rep6,6,86 28 66 01 0B 00 00 00,86-28-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,y,h,6alt,SI.NN,10/1/19,10/2/19
t2rep6,8,47 29 66 01 0B 00 00 00,47-29-66-01-0B-00-12-E0,7/9/19,9/24/19,7,3,n,c,6alt,SI.NN,10/1/19,10/2/19
t3rep1,1,70 28 66 01 0B 00 00 00,70-28-66-01-0B-00-12-E0,7/9/19,10/1/19,7,3,y,h,6alt,SI.NN,10/8/19,10/9/19
t3rep1,2,71 28 66 01 0B 00 00 00,71-28-66-01-0B-00-12-E0,7/9/19,10/1/19,7,3,n,m,6alt,SI.NN,10/8/19,10/9/19
t3rep1,3,73 28 66 01 0B 00 00 00,73-28-66-01-0B-00-12-E0,7/9/19,10/1/19,7,3,n,c,6alt,SI.NN,10/8/19,10/9/19
t3rep1,4,9B 2A 66 01 0B 00 00 00,9B-2A-66-01-0B-00-12-E0,7/9/19,10/1/19,7,3,y,h,6alt,SI.NN,10/8/19,10/9/19
t3rep1,5,72 28 66 01 0B 00 00 00,72-28-66-01-0B-00-12-E0,7/9/19,10/1/19,7,3,y,m,6alt,SI.NN,10/8/19,10/9/19
t3rep1,6,65 29 66 01 0B 00 00 00,65-29-66-01-0B-00-12-E0,7/9/19,10/1/19,7,3,n,c,6alt,SI.NN,10/8/19,10/9/19
t3rep1,8,6B 28 66 01 0B 00 00 00,6B-28-66-01-0B-00-12-E0,7/9/19,10/1/19,7,3,y,h,6alt,SI.NN,10/8/19,10/9/19
t3rep2,1,93 2A 66 01 0B 00 00 00,93-2A-66-01-0B-00-12-E0,7/9/19,10/1/19,7,3,y,m,6alt,SI.NN,10/8/19,10/9/19
t3rep2,2,DB 2A 66 01 0B 00 00 00,DB-2A-66-01-0B-00-12-E0,7/9/19,10/1/19,7,3,y,c,6alt,SI.NN,10/8/19,10/9/19
t3rep2,4,79 28 66 01 0B 00 00 00,79-28-66-01-0B-00-12-E0,7/9/19,10/1/19,7,3,y,m,6alt,SI.NN,10/8/19,10/9/19
t3rep2,5,6F 28 66 01 0B 00 00 00,6F-28-66-01-0B-00-12-E0,7/9/19,10/1/19,7,3,n,c,6alt,SI.NN,10/8/19,10/9/19
t3rep2,6,6E 28 66 01 0B 00 00 00,6E-28-66-01-0B-00-12-E0,7/9/19,10/1/19,7,3,n,h,6alt,SI.NN,10/8/19,10/9/19
t3rep2,8,AE 2A 66 01 0B 00 00 00,AE-2A-66-01-0B-00-12-E0,7/9/19,10/1/19,7,3,n,m,6alt,SI.NN,10/8/19,10/9/19
t3rep3,1,6C 28 66 01 0B 00 00 00,6C-28-66-01-0B-00-12-E0,7/9/19,10/1/19,7,3,y,c,6alt,SI.NN,10/8/19,10/9/19
t3rep3,2,BD 28 66 01 0B 00 00 00,BD-28-66-01-0B-00-12-E0,7/9/19,10/1/19,7,3,y,m,6alt,SI.NN,10/8/19,10/9/19
t3rep3,3,83 28 66 01 0B 00 00 00,83-28-66-01-0B-00-12-E0,7/9/19,10/1/19,7,3,n,h,6alt,SI.NN,10/8/19,10/9/19
t3rep3,4,94 2A 66 01 0B 00 00 00,94-2A-66-01-0B-00-12-E0,7/9/19,10/1/19,7,3,n,c,6alt,SI.NN,10/8/19,10/9/19
t3rep3,5,66 29 66 01 0B 00 00 00,66-29-66-01-0B-00-12-E0,7/9/19,10/1/19,7,3,n,m,6alt,SI.NN,10/8/19,10/9/19
t3rep3,6,6D 28 66 01 0B 00 00 00,6D-28-66-01-0B-00-12-E0,7/9/19,10/1/19,7,3,n,h,6alt,SI.NN,10/8/19,10/9/19
t3rep3,8,A7 2A 66 01 0B 00 00 00,A7-2A-66-01-0B-00-12-E0,7/9/19,10/1/19,7,3,y,c,6alt,SI.NN,10/8/19,10/9/19